Lambda  loss
9.87190194039e-06         -1.87
9.88198045182e-06      -1.87297
9.89205896324e-06      -1.87457
9.90213747467e-06      -1.87643
9.91221598609e-06       -1.8789
9.92229449752e-06      -1.88104
9.93237300894e-06      -1.88341
9.94245152037e-06      -1.88559
9.95253003179e-06      -1.88854
9.96260854322e-06      -1.89029
9.97268705464e-06      -1.89239
9.98276556606e-06      -1.89507
9.99284407749e-06      -1.89746
1.00029225889e-05      0.354705
1.00130011003e-05      0.354705
1.00230796118e-05      0.354704
1.00331581232e-05      0.354704
1.00432366346e-05      0.354703
1.0053315146e-05      0.354703
1.00633936575e-05      0.354702
1.00734721689e-05      0.354702
1.00835506803e-05      0.354701
1.00936291917e-05      0.354701
1.01037077032e-05        0.3547
1.01137862146e-05        0.3547
1.0123864726e-05      0.354699
1.01339432374e-05      0.354699
1.01440217489e-05      0.354698
1.01541002603e-05      0.354698
9.83670588878e-06      -1.86214
9.84677932031e-06      -1.86462
9.85685275184e-06      -1.86678
9.86692618337e-06      -1.86907
9.8769996149e-06      -1.87147
9.88707304643e-06      -1.87315
9.89714647796e-06       -1.8756
9.90721990949e-06      -1.87795
9.91729334102e-06      -1.88037
9.92736677255e-06      -1.88216
9.93744020408e-06      -1.88473
9.94751363561e-06      -1.88695
9.95758706714e-06      -1.88908
9.96766049867e-06      -1.89099
9.97773393019e-06      -1.89368
9.98780736172e-06      -1.89612
9.99788079325e-06      -1.89801
1.00079542248e-05      0.354705
1.00180276563e-05      0.354705
1.00281010878e-05      0.354704
1.00381745194e-05      0.354704
1.00482479509e-05      0.354703
1.00583213824e-05      0.354703
1.0068394814e-05      0.354702
1.00784682455e-05      0.354702
1.0088541677e-05      0.354701
1.00986151086e-05      0.354701
1.01086885401e-05        0.3547
1.01187619716e-05        0.3547
1.01288354031e-05      0.354699
1.01389088347e-05      0.354699
1.01489822662e-05      0.354698
9.84166390586e-06      -1.86316
9.85174241472e-06      -1.86497
9.86182092359e-06      -1.86766
9.87189943245e-06      -1.86956
9.88197794132e-06      -1.87211
9.89205645018e-06      -1.87472
9.90213495904e-06      -1.87712
9.91221346791e-06      -1.87952
9.92229197677e-06       -1.8811
9.93237048564e-06      -1.88327
9.9424489945e-06      -1.88603
9.95252750337e-06      -1.88818
9.96260601223e-06      -1.89009
9.97268452109e-06      -1.89244
